table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale
public,company_consumables_view,consumable_code,2,null,YES,text,null,null,null
public,company_consumables_view,first_ordered_at,3,null,YES,date,null,null,null
public,company_consumables_view,last_ordered_at,4,null,YES,date,null,null,null
public,company_consumables_view,total_orders,5,null,YES,integer,null,32,0
public,company_consumables_view,total_quantity,6,null,YES,integer,null,32,0
public,company_distributor_pricing,pricing_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,company_distributor_pricing,company_id,2,null,NO,text,null,null,null
public,company_distributor_pricing,product_code,3,null,NO,text,null,null,null
public,company_distributor_pricing,custom_price,4,null,NO,numeric,null,null,null
public,company_distributor_pricing,currency,5,'GBP'::text,YES,text,null,null,null
public,company_distributor_pricing,active,6,TRUE,YES,boolean,null,null,null
public,company_distributor_pricing,created_at,7,now(),YES,timestamp with time zone,null,null,null
public,company_distributor_pricing,updated_at,8,now(),YES,timestamp with time zone,null,null,null
public,company_machine,id,1,gen_random_uuid(),NO,uuid,null,null,null
public,company_machine,machine_id,3,null,NO,uuid,null,null,null
public,company_machine,quantity,4,1,YES,integer,null,32,0
public,company_machine,location,5,null,YES,text,null,null,null
public,company_machine,verified,6,FALSE,YES,boolean,null,null,null
public,company_machine,source,7,'website_form'::text,YES,text,null,null,null
public,company_machine,notes,8,null,YES,text,null,null,null
public,company_machine,created_at,9,now(),YES,timestamp with time zone,null,null,null
public,company_machine,company_id,10,null,NO,text,null,null,null
public,company_machine,confidence,11,1,YES,smallint,null,16,0
public,company_machine,evidence,12,'{}'::jsonb,YES,jsonb,null,null,null
public,company_product_catalog,catalog_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,company_product_catalog,company_id,2,null,NO,text,null,null,null
public,company_product_catalog,product_code,3,null,NO,text,null,null,null
public,company_product_catalog,visible,4,TRUE,YES,boolean,null,null,null
public,company_product_catalog,display_order,5,null,YES,integer,null,32,0
public,company_product_catalog,created_at,6,now(),YES,timestamp with time zone,null,null,null
public,company_product_catalog,updated_at,7,now(),YES,timestamp with time zone,null,null,null
public,company_product_history,company_id,1,null,NO,text,null,null,null
public,company_product_history,product_code,2,null,NO,text,null,null,null
public,company_product_history,product_type,3,null,NO,text,null,null,null
public,company_product_history,first_purchased_at,4,null,NO,date,null,null,null
public,company_product_history,last_purchased_at,5,null,NO,date,null,null,null
public,company_product_history,total_purchases,6,1,NO,integer,null,32,0
public,company_product_history,total_quantity,7,1,NO,integer,null,32,0
public,company_product_history,source,8,'invoice'::text,YES,text,null,null,null
public,company_product_history,added_by,9,null,YES,text,null,null,null
public,company_product_history,created_at,10,now(),NO,timestamp with time zone,null,null,null
public,company_product_history,updated_at,11,now(),NO,timestamp with time zone,null,null,null
public,company_tools,company_id,1,null,NO,text,null,null,null
public,company_tools,tool_code,2,null,NO,text,null,null,null
public,company_tools,first_seen_at,3,null,NO,date,null,null,null
public,company_tools,last_seen_at,4,null,NO,date,null,null,null
public,company_tools,total_units,5,null,NO,integer,null,32,0
public,company_tools_view,company_id,1,null,YES,text,null,null,null
public,company_tools_view,tool_code,2,null,YES,text,null,null,null
public,company_tools_view,first_seen_at,3,null,YES,date,null,null,null
public,company_tools_view,last_seen_at,4,null,YES,date,null,null,null
public,company_tools_view,total_units,5,null,YES,integer,null,32,0
public,contact_interactions,id,1,gen_random_uuid(),NO,uuid,null,null,null
public,contact_interactions,contact_id,2,null,NO,uuid,null,null,null
public,contact_interactions,interaction_type,4,null,NO,text,null,null,null
public,contact_interactions,url,5,null,YES,text,null,null,null
public,contact_interactions,referrer,6,null,YES,text,null,null,null
public,contact_interactions,metadata,7,null,YES,jsonb,null,null,null
public,contact_interactions,occurred_at,8,now(),YES,timestamp with time zone,null,null,null
public,contact_interactions,company_id,10,null,NO,text,null,null,null
public,contacts,contact_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,contacts,company_id,2,null,NO,text,null,null,null
public,contacts,first_name,3,null,YES,text,null,null,null
public,contacts,last_name,4,null,YES,text,null,null,null
public,contacts,full_name,5,null,YES,text,null,null,null
public,contacts,email,6,null,YES,text,null,null,null
public,contacts,phone,7,null,YES,text,null,null,null
public,contacts,role,8,null,YES,text,null,null,null
public,contacts,source,9,'sage_import'::text,YES,text,null,null,null
public,contacts,status,10,'active'::text,YES,text,null,null,null
public,contacts,created_at,11,now(),YES,timestamp with time zone,null,null,null
public,contacts,updated_at,12,now(),YES,timestamp with time zone,null,null,null
public,contacts,token,14,null,YES,uuid,null,null,null
public,contacts,marketing_status,15,null,YES,text,null,null,null
public,contacts,gdpr_consent_at,16,null,YES,timestamp with time zone,null,null,null
public,contacts,zoho_contact_id,18,null,YES,text,null,null,null
public,customer_pricing_overrides,override_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,customer_pricing_overrides,company_id,2,null,NO,text,null,null,null
public,customer_pricing_overrides,product_code,3,null,YES,text,null,null,null
public,customer_pricing_overrides,category,4,null,YES,text,null,null,null
public,customer_pricing_overrides,pricing_tier,5,null,YES,text,null,null,null
public,customer_pricing_overrides,flat_discount_pct,6,null,YES,numeric,null,5,2
public,customer_pricing_overrides,valid_from,7,now(),YES,timestamp with time zone,null,null,null
public,customer_pricing_overrides,valid_until,8,null,YES,timestamp with time zone,null,null,null
public,customer_pricing_overrides,active,9,TRUE,YES,boolean,null,null,null
public,customer_pricing_overrides,notes,10,null,YES,text,null,null,null
public,customer_pricing_overrides,created_at,11,now(),YES,timestamp with time zone,null,null,null
public,customer_pricing_overrides,created_by,12,null,YES,text,null,null,null
public,distributor_order_items,item_id,1,"('DITEM-'::text || lpad((nextval('order_sequence'::regclass))::text, 6, '0'::text))",NO,text,null,null,null
public,distributor_order_items,order_id,2,null,NO,text,null,null,null
public,distributor_order_items,product_code,3,null,NO,text,null,null,null
public,distributor_order_items,description,4,null,NO,text,null,null,null
public,distributor_order_items,quantity,5,null,NO,integer,null,32,0
public,distributor_order_items,unit_price,6,null,NO,numeric,null,10,2
public,distributor_order_items,line_total,7,null,NO,numeric,null,10,2
public,distributor_order_items,status,8,'pending_review'::text,NO,text,null,null,null
public,distributor_order_items,back_order_date,9,null,YES,date,null,null,null
public,distributor_order_items,predicted_delivery_date,10,null,YES,date,null,null,null
public,distributor_order_items,back_order_notes,11,null,YES,text,null,null,null
public,distributor_order_items,fulfilled_invoice_id,12,null,YES,uuid,null,null,null
public,distributor_order_items,fulfilled_at,13,null,YES,timestamp with time zone,null,null,null
public,distributor_order_items,created_at,14,now(),YES,timestamp with time zone,null,null,null
public,distributor_orders,order_id,1,"('DORD-'::text || lpad((nextval('order_sequence'::regclass))::text, 6, '0'::text))",NO,text,null,null,null
public,distributor_orders,company_id,2,null,NO,text,null,null,null
public,distributor_orders,user_id,3,null,NO,uuid,null,null,null
public,distributor_orders,user_email,4,null,NO,text,null,null,null
public,distributor_orders,user_name,5,null,NO,text,null,null,null
public,distributor_orders,status,6,'pending_review'::text,NO,text,null,null,null
public,distributor_orders,subtotal,7,null,NO,numeric,null,10,2
public,distributor_orders,predicted_shipping,8,null,NO,numeric,null,10,2
public,distributor_orders,confirmed_shipping,9,null,YES,numeric,null,10,2
public,distributor_orders,vat_amount,10,null,NO,numeric,null,10,2
public,distributor_orders,total_amount,11,null,NO,numeric,null,10,2
public,distributor_orders,currency,12,'GBP'::text,YES,text,null,null,null
public,distributor_orders,billing_address_line_1,13,null,YES,text,null,null,null
public,distributor_orders,billing_address_line_2,14,null,YES,text,null,null,null
public,distributor_orders,billing_city,15,null,YES,text,null,null,null
public,distributor_orders,billing_state_province,16,null,YES,text,null,null,null
public,distributor_orders,billing_postal_code,17,null,YES,text,null,null,null
public,distributor_orders,billing_country,18,null,YES,text,null,null,null
public,distributor_orders,vat_number,19,null,YES,text,null,null,null
public,distributor_orders,shipping_address_id,20,null,YES,uuid,null,null,null
public,distributor_orders,shipping_address_line_1,21,null,YES,text,null,null,null
public,distributor_orders,shipping_address_line_2,22,null,YES,text,null,null,null
public,distributor_orders,shipping_city,23,null,YES,text,null,null,null
public,distributor_orders,shipping_state_province,24,null,YES,text,null,null,null
public,distributor_orders,shipping_postal_code,25,null,YES,text,null,null,null
public,distributor_orders,shipping_country,26,null,YES,text,null,null,null
public,distributor_orders,admin_billing_address_line_1,27,null,YES,text,null,null,null
public,distributor_orders,admin_billing_address_line_2,28,null,YES,text,null,null,null
public,distributor_orders,admin_billing_city,29,null,YES,text,null,null,null
public,distributor_orders,admin_billing_state_province,30,null,YES,text,null,null,null
public,distributor_orders,admin_billing_postal_code,31,null,YES,text,null,null,null
public,distributor_orders,admin_billing_country,32,null,YES,text,null,null,null
public,distributor_orders,admin_shipping_address_line_1,33,null,YES,text,null,null,null
public,distributor_orders,admin_shipping_address_line_2,34,null,YES,text,null,null,null
public,distributor_orders,admin_shipping_city,35,null,YES,text,null,null,null
public,distributor_orders,admin_shipping_state_province,36,null,YES,text,null,null,null
public,distributor_orders,admin_shipping_postal_code,37,null,YES,text,null,null,null
public,distributor_orders,admin_shipping_country,38,null,YES,text,null,null,null
public,distributor_orders,shipping_override_reason,39,null,YES,text,null,null,null
public,distributor_orders,reviewed_by,40,null,YES,text,null,null,null
public,distributor_orders,reviewed_at,41,null,YES,timestamp with time zone,null,null,null
public,distributor_orders,created_at,42,now(),YES,timestamp with time zone,null,null,null
public,distributor_orders,updated_at,43,now(),YES,timestamp with time zone,null,null,null
public,distributor_orders,po_number,44,null,YES,text,null,null,null
public,distributor_pricing,pricing_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,distributor_pricing,product_code,2,null,NO,text,null,null,null
public,distributor_pricing,standard_price,3,null,YES,numeric,null,10,2
public,distributor_pricing,currency,5,'GBP'::text,YES,text,null,null,null
public,distributor_pricing,active,6,TRUE,YES,boolean,null,null,null
public,distributor_pricing,created_at,7,now(),YES,timestamp with time zone,null,null,null
public,distributor_pricing,updated_at,8,now(),YES,timestamp with time zone,null,null,null
public,distributor_users,user_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,distributor_users,company_id,2,null,NO,text,null,null,null
public,distributor_users,email,3,null,NO,text,null,null,null
public,distributor_users,password_hash,4,null,YES,text,null,null,null
public,distributor_users,full_name,5,null,NO,text,null,null,null
public,distributor_users,role,6,'user'::text,NO,text,null,null,null
public,distributor_users,active,7,TRUE,NO,boolean,null,null,null
public,distributor_users,invitation_token,8,null,YES,text,null,null,null
public,distributor_users,invitation_expires_at,9,null,YES,timestamp with time zone,null,null,null
public,distributor_users,last_login_at,10,null,YES,timestamp with time zone,null,null,null
public,distributor_users,created_at,11,now(),NO,timestamp with time zone,null,null,null
public,distributor_users,updated_at,12,now(),NO,timestamp with time zone,null,null,null
public,engagement_events,event_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,engagement_events,company_id,2,null,YES,text,null,null,null
public,engagement_events,contact_id,3,null,YES,uuid,null,null,null
public,engagement_events,occurred_at,4,now(),NO,timestamp with time zone,null,null,null
public,engagement_events,event_type,5,null,NO,text,null,null,null
public,engagement_events,source,6,null,YES,text,null,null,null
public,engagement_events,url,7,null,YES,text,null,null,null
public,engagement_events,meta,8,'{}'::jsonb,NO,jsonb,null,null,null
public,engagement_events,source_event_id,9,null,YES,text,null,null,null
public,engagement_events,event_name,10,null,YES,text,null,null,null
public,engagement_events,campaign_key,11,null,YES,text,null,null,null
public,engagement_events,offer_key,12,null,YES,text,null,null,null
public,engagement_events,value,13,null,YES,numeric,null,null,null
public,engagement_events,currency,14,null,YES,text,null,null,null
public,invoice_items,invoice_id,1,null,NO,uuid,null,null,null
public,invoice_items,product_code,2,null,NO,text,null,null,null
public,invoice_items,line_number,3,null,NO,integer,null,32,0
public,invoice_items,description,4,null,NO,text,null,null,null
public,invoice_items,quantity,5,null,NO,integer,null,32,0
public,invoice_items,unit_price,6,null,NO,numeric,null,10,2
public,invoice_items,line_total,7,null,NO,numeric,null,10,2
public,invoice_items,notes,8,null,YES,text,null,null,null
public,invoices,invoice_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,invoices,company_id,2,null,NO,text,null,null,null
public,invoices,contact_id,3,null,YES,uuid,null,null,null
public,invoices,stripe_invoice_id,4,null,YES,text,null,null,null
public,invoices,stripe_customer_id,5,null,YES,text,null,null,null
public,invoices,stripe_payment_intent_id,6,null,YES,text,null,null,null
public,invoices,invoice_number,7,null,YES,text,null,null,null
public,invoices,invoice_type,8,null,YES,text,null,null,null
public,invoices,currency,9,'gbp'::text,NO,text,null,null,null
public,invoices,subtotal,10,null,NO,numeric,null,10,2
public,invoices,tax_amount,11,0,YES,numeric,null,10,2
public,invoices,shipping_amount,12,0,YES,numeric,null,10,2
public,invoices,total_amount,13,null,NO,numeric,null,10,2
public,invoices,status,14,null,NO,text,null,null,null
public,invoices,payment_status,15,null,NO,text,null,null,null
public,invoices,invoice_date,16,CURRENT_DATE,NO,date,null,null,null
public,invoices,due_date,17,null,YES,date,null,null,null
public,invoices,paid_at,18,null,YES,timestamp with time zone,null,null,null
public,invoices,sent_at,19,null,YES,timestamp with time zone,null,null,null
public,invoices,voided_at,20,null,YES,timestamp with time zone,null,null,null
public,invoices,invoice_url,21,null,YES,text,null,null,null
public,invoices,invoice_pdf_url,22,null,YES,text,null,null,null
public,invoices,shipping_address_id,23,null,YES,uuid,null,null,null
public,invoices,shipping_country,24,null,YES,text,null,null,null
public,invoices,tracking_number,25,null,YES,text,null,null,null
public,invoices,carrier,26,null,YES,text,null,null,null
public,invoices,shipped_at,27,null,YES,timestamp with time zone,null,null,null
public,invoices,notes,28,null,YES,text,null,null,null
public,invoices,created_by,29,null,YES,text,null,null,null
public,invoices,created_at,30,now(),NO,timestamp with time zone,null,null,null
public,invoices,updated_at,31,now(),NO,timestamp with time zone,null,null,null
public,invoices,po_number,32,null,YES,text,null,null,null
public,machines,machine_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,machines,brand,2,null,NO,text,null,null,null
public,machines,model,3,null,YES,text,null,null,null
public,machines,display_name,4,null,YES,text,null,null,null
public,machines,type,5,null,NO,text,null,null,null
public,machines,shaft_size_mm,6,null,YES,integer,null,32,0
public,machines,country,7,null,YES,text,null,null,null
public,machines,oem_url,8,null,YES,text,null,null,null
public,machines,description,9,null,YES,text,null,null,null
public,machines,created_at,10,now(),YES,timestamp with time zone,null,null,null
public,machines,updated_at,11,now(),YES,timestamp with time zone,null,null,null
public,machines,slug,12,null,YES,text,null,null,null
public,machines,type_canonical,13,null,YES,text,null,null,null
public,machines,outer_diameter_mm,14,null,YES,numeric,null,6,2
public,machines,shaft_specs,15,null,YES,jsonb,null,null,null
public,machines,shaft_config_id,16,null,YES,integer,null,32,0
public,notification_preferences,user_id,1,null,NO,text,null,null,null
public,notification_preferences,notify_quote_viewed,2,TRUE,YES,boolean,null,null,null
public,notification_preferences,notify_quote_accepted,3,TRUE,YES,boolean,null,null,null
public,notification_preferences,notify_invoice_paid,4,TRUE,YES,boolean,null,null,null
public,notification_preferences,notify_trial_ending,5,TRUE,YES,boolean,null,null,null
public,notification_preferences,daily_digest_enabled,6,TRUE,YES,boolean,null,null,null
public,notification_preferences,daily_digest_time,7,'09:00:00'::time without time zone,YES,time without time zone,null,null,null
public,notification_preferences,weekly_summary_enabled,8,TRUE,YES,boolean,null,null,null
public,notification_preferences,weekly_summary_day,9,5,YES,integer,null,32,0
public,notification_preferences,weekly_summary_time,10,'17:00:00'::time without time zone,YES,time without time zone,null,null,null
public,notification_preferences,created_at,11,now(),YES,timestamp with time zone,null,null,null
public,notification_preferences,updated_at,12,now(),YES,timestamp with time zone,null,null,null
public,order_items,order_id,1,null,NO,uuid,null,null,null
public,order_items,product_code,2,null,NO,text,null,null,null
public,order_items,description,3,null,YES,text,null,null,null
public,order_items,qty,4,null,NO,integer,null,32,0
public,order_items,unit_price,5,null,NO,numeric,null,12,2
public,order_items,line_total,6,null,NO,numeric,null,12,2
public,orders,order_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,orders,company_id,2,null,NO,text,null,null,null
public,orders,currency,3,'GBP'::text,NO,text,null,null,null
public,orders,payment_channel,4,null,NO,text,null,null,null
public,orders,payment_status,5,'unpaid'::text,NO,text,null,null,null
public,orders,fulfillment_status,6,'hold_unpaid'::text,NO,text,null,null,null
public,orders,subtotal,7,0,NO,numeric,null,12,2
public,orders,shipping_amount,8,0,NO,numeric,null,12,2
public,orders,tax_amount,9,0,NO,numeric,null,12,2
public,orders,total_amount,10,0,NO,numeric,null,12,2
public,orders,shipping_country,11,null,YES,text,null,null,null
public,orders,shipping_name,12,null,YES,text,null,null,null
public,orders,shipping_company,13,null,YES,text,null,null,null
public,orders,shipping_address1,14,null,YES,text,null,null,null
public,orders,shipping_address2,15,null,YES,text,null,null,null
public,orders,shipping_city,16,null,YES,text,null,null,null
public,orders,shipping_postcode,17,null,YES,text,null,null,null
public,orders,stripe_checkout_session_id,18,null,YES,text,null,null,null
public,orders,stripe_payment_intent_id,19,null,YES,text,null,null,null
public,orders,books_customer_id,20,null,YES,text,null,null,null
public,orders,books_invoice_id,21,null,YES,text,null,null,null
public,orders,books_payment_id,22,null,YES,text,null,null,null
public,orders,created_at,23,now(),NO,timestamp with time zone,null,null,null
public,orders,updated_at,24,now(),NO,timestamp with time zone,null,null,null
public,orders,shipping_address_id,25,null,YES,uuid,null,null,null
public,orders,invoice_number,26,null,YES,text,null,null,null
public,orders,order_type,27,null,YES,text,null,null,null
public,orders,rental_agreement_id,28,null,YES,uuid,null,null,null
public,orders,tracking_number,29,null,YES,text,null,null,null
public,orders,carrier,30,null,YES,text,null,null,null
public,orders,shipped_at,31,null,YES,timestamp with time zone,null,null,null
public,orders,estimated_delivery,32,null,YES,text,null,null,null
public,orders,stripe_invoice_id,33,null,YES,text,null,null,null
public,orders,invoice_status,34,null,YES,text,null,null,null
public,orders,invoice_url,35,null,YES,text,null,null,null
public,orders,invoice_pdf_url,36,null,YES,text,null,null,null
public,orders,commercial_invoice_pdf_url,37,null,YES,text,null,null,null
public,orders,invoice_sent_at,38,null,YES,timestamp with time zone,null,null,null
public,orders,invoice_voided_at,39,null,YES,timestamp with time zone,null,null,null
public,orders,shipping_weight_kg,40,null,YES,numeric,null,10,2
public,orders,incoterms,41,null,YES,text,null,null,null
public,outbox,job_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,outbox,job_type,2,null,NO,text,null,null,null
public,outbox,status,3,'pending'::text,NO,text,null,null,null
public,outbox,attempts,4,0,NO,integer,null,32,0
public,outbox,max_attempts,5,3,NO,integer,null,32,0
public,outbox,payload,6,'{}'::jsonb,NO,jsonb,null,null,null
public,outbox,company_id,7,null,YES,text,null,null,null
public,outbox,order_id,8,null,YES,uuid,null,null,null
public,outbox,last_error,9,null,YES,text,null,null,null
public,outbox,locked_until,10,null,YES,timestamp with time zone,null,null,null
public,outbox,created_at,11,now(),NO,timestamp with time zone,null,null,null
public,outbox,updated_at,12,now(),NO,timestamp with time zone,null,null,null
public,outbox,completed_at,13,null,YES,timestamp with time zone,null,null,null
public,premium_pricing_ladder,tier_id,1,nextval('premium_pricing_ladder_tier_id_seq'::regclass),NO,integer,null,32,0
public,premium_pricing_ladder,min_qty,2,null,NO,integer,null,32,0
public,premium_pricing_ladder,max_qty,3,null,NO,integer,null,32,0
public,premium_pricing_ladder,discount_pct,4,null,NO,numeric,null,5,2
public,premium_pricing_ladder,active,5,TRUE,YES,boolean,null,null,null
public,premium_pricing_ladder,created_at,6,now(),YES,timestamp with time zone,null,null,null
public,premium_pricing_ladder,updated_at,7,now(),YES,timestamp with time zone,null,null,null
public,products,product_code,1,null,NO,text,null,null,null
public,products,description,2,null,YES,text,null,null,null
public,products,type,3,'part'::text,YES,text,null,null,null
public,products,category,4,null,YES,text,null,null,null
public,products,active,5,TRUE,YES,boolean,null,null,null
public,products,is_marketable,6,FALSE,YES,boolean,null,null,null
public,products,is_reminder_eligible,7,FALSE,YES,boolean,null,null,null
public,products,price,8,null,YES,numeric,null,null,null
public,products,currency,9,'GBP'::text,YES,text,null,null,null
public,products,site_visibility,10,'{technifold}'::text[],YES,ARRAY,null,null,null
public,products,extra,11,'{}'::jsonb,YES,jsonb,null,null,null
public,products,image_url,12,null,YES,text,null,null,null
public,products,image_alt,13,null,YES,text,null,null,null
public,products,video_url,14,null,YES,text,null,null,null
public,products,weight_kg,15,null,YES,numeric,null,10,3
public,products,dimensions_cm,16,null,YES,text,null,null,null
public,products,hs_code,17,null,YES,text,null,null,null
public,products,country_of_origin,18,'GB'::text,YES,text,null,null,null
public,products,rental_price_monthly,19,null,YES,numeric,null,10,2
public,products,customs_value_gbp,20,null,YES,numeric,null,10,2
public,products,width_cm,21,null,YES,numeric,null,8,2
public,products,height_cm,22,null,YES,numeric,null,8,2
public,products,depth_cm,23,null,YES,numeric,null,8,2
public,products,cost_price,24,null,YES,numeric,null,null,null
public,products,pricing_tier,25,'standard'::text,YES,text,null,null,null
public,products,show_in_distributor_portal,26,TRUE,YES,boolean,null,null,null
public,quote_items,quote_id,1,null,NO,uuid,null,null,null
public,quote_items,product_code,2,null,NO,text,null,null,null
public,quote_items,line_number,3,null,NO,integer,null,32,0
public,quote_items,description,4,null,NO,text,null,null,null
public,quote_items,quantity,5,null,NO,integer,null,32,0
public,quote_items,unit_price,6,null,NO,numeric,null,null,null
public,quote_items,discount_percent,7,0,YES,numeric,null,null,null
public,quote_items,line_total,8,null,NO,numeric,null,null,null
public,quote_items,product_type,9,null,YES,text,null,null,null
public,quote_items,category,10,null,YES,text,null,null,null
public,quote_items,image_url,11,null,YES,text,null,null,null
public,quote_notes,note_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,quote_notes,quote_id,2,null,NO,uuid,null,null,null
public,quote_notes,user_id,3,null,NO,text,null,null,null
public,quote_notes,user_name,4,null,NO,text,null,null,null
public,quote_notes,note_text,5,null,NO,text,null,null,null
public,quote_notes,created_at,6,now(),YES,timestamp with time zone,null,null,null
public,quote_notes,updated_at,7,now(),YES,timestamp with time zone,null,null,null
public,quote_requests,quote_request_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,quote_requests,company_id,2,null,NO,character varying,10,null,null
public,quote_requests,contact_id,3,null,NO,uuid,null,null,null
public,quote_requests,machine_slug,4,null,YES,character varying,255,null,null
public,quote_requests,interested_products,5,'[]'::jsonb,YES,jsonb,null,null,null
public,quote_requests,status,6,'requested'::character varying,NO,character varying,50,null,null
public,quote_requests,source,7,'manual'::character varying,NO,character varying,50,null,null
public,quote_requests,assigned_to,8,null,YES,character varying,50,null,null
public,quote_requests,notes,9,null,YES,text,null,null,null
public,quote_requests,marketing_token,10,null,YES,text,null,null,null
public,quote_requests,quote_token,11,null,YES,text,null,null,null
public,quote_requests,lost_reason,12,null,YES,text,null,null,null
public,quote_requests,won_amount,13,null,YES,numeric,null,10,2
public,quote_requests,created_at,14,now(),YES,timestamp with time zone,null,null,null
public,quote_requests,updated_at,15,now(),YES,timestamp with time zone,null,null,null
public,quote_requests,quote_sent_at,16,null,YES,timestamp with time zone,null,null,null
public,quote_requests,closed_at,17,null,YES,timestamp with time zone,null,null,null
public,quotes,quote_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,quotes,company_id,2,null,NO,text,null,null,null
public,quotes,contact_id,3,null,NO,uuid,null,null,null
public,quotes,quote_type,4,null,NO,text,null,null,null
public,quotes,pricing_mode,5,null,YES,text,null,null,null
public,quotes,status,6,'draft'::text,NO,text,null,null,null
public,quotes,currency,7,'GBP'::text,NO,text,null,null,null
public,quotes,subtotal,8,null,NO,numeric,null,null,null
public,quotes,discount_amount,9,0,YES,numeric,null,null,null
public,quotes,total_amount,10,null,NO,numeric,null,null,null
public,quotes,invoice_id,11,null,YES,uuid,null,null,null
public,quotes,expires_at,12,null,YES,timestamp with time zone,null,null,null
public,quotes,sent_at,13,null,YES,timestamp with time zone,null,null,null
public,quotes,viewed_at,14,null,YES,timestamp with time zone,null,null,null
public,quotes,accepted_at,15,null,YES,timestamp with time zone,null,null,null
public,quotes,is_test,16,FALSE,YES,boolean,null,null,null
public,quotes,notes,17,null,YES,text,null,null,null
public,quotes,created_by,18,null,YES,text,null,null,null
public,quotes,created_at,19,now(),NO,timestamp with time zone,null,null,null
public,quotes,updated_at,20,now(),NO,timestamp with time zone,null,null,null
public,quotes,won_at,21,null,YES,timestamp with time zone,null,null,null
